_id,navigationPath[0],navigationPath[1],navigationPath[2],navigationPath[3],navigationPath[4],navigationPath[5],navigationPath[6],navigationPath[7],navigationPath[8],navigationPath[9],navigationPath[10],navigationPath[11],navigationPath[12],navigationPath[13],navigationPath[14],navigationPath[15],navigationPath[16],navigationPath[17],navigationPath[18],navigationPath[19],navigationPath[20],navigationPath[21],navigationPath[22],navigationPath[23],navigationPath[24],navigationPath[25],navigationPath[26],navigationPath[27],navigationPath[28],navigationPath[29],navigationPath[30],navigationPath[31],navigationPath[32],navigationPath[33],navigationPath[34],navigationPath[35],navigationPath[36],navigationPath[37],navigationPath[38],navigationPath[39],navigationPath[40],eventType,location.domain,location.page,x,y,clickCount,scrollDepth,scrollDirection,currentPage,timeSpentOnPage,newVisitor,activeUsers,taskSuccessRate,timeOnTask,searchUsage,navigationUsage,userErrorRate,taskLevelSatisfaction,testLevelSatisfaction,productAccess,avgTimeSpent,featureAdoptionRate,heatmapData.points[0].x,heatmapData.points[1].x,heatmapData.points[2].x,heatmapData.points[3].x,heatmapData.points[4].x,heatmapData.points[5].x,heatmapData.points[6].x,heatmapData.points[7].x,heatmapData.points[8].x,heatmapData.points[9].x,heatmapData.points[10].x,heatmapData.points[11].x,heatmapData.points[12].x,heatmapData.points[13].x,heatmapData.points[14].x,heatmapData.points[15].x,heatmapData.points[16].x,heatmapData.points[17].x,heatmapData.points[18].x,heatmapData.points[19].x,heatmapData.points[0].y,heatmapData.points[1].y,heatmapData.points[2].y,heatmapData.points[3].y,heatmapData.points[4].y,heatmapData.points[5].y,heatmapData.points[6].y,heatmapData.points[7].y,heatmapData.points[8].y,heatmapData.points[9].y,heatmapData.points[10].y,heatmapData.points[11].y,heatmapData.points[12].y,heatmapData.points[13].y,heatmapData.points[14].y,heatmapData.points[15].y,heatmapData.points[16].y,heatmapData.points[17].y,heatmapData.points[18].y,heatmapData.points[19].y,heatmapData.points[0].value,heatmapData.points[1].value,heatmapData.points[2].value,heatmapData.points[3].value,heatmapData.points[4].value,heatmapData.points[5].value,heatmapData.points[6].value,heatmapData.points[7].value,heatmapData.points[8].value,heatmapData.points[9].value,heatmapData.points[10].value,heatmapData.points[11].value,heatmapData.points[12].value,heatmapData.points[13].value,heatmapData.points[14].value,heatmapData.points[15].value,heatmapData.points[16].value,heatmapData.points[17].value,heatmapData.points[18].value,heatmapData.points[19].value,dropOffPage,visitorToken,os,deviceType,origin,windowSize.width,windowSize.height,maxScrollDepth,confusedScrolling,timestamp,journeyStarted,dropOff,bounce,activeInteraction,__v
6565e04f0e8d3b6d1987485f,https://example.com/child5,https://example.com/child3,https://example.com/child6/grandchild2,https://example.com/child1/grandchild1,https://example.com/child5/grandchild2,https://example.com,https://example.com/child9,https://example.com/child9/grandchild3,https://example.com/child6/grandchild1,https://example.com/child10/grandchild3,https://example.com/child5/grandchild3,https://example.com/child4/grandchild2,https://example.com/child3/grandchild1,https://example.com/child7/grandchild1,https://example.com/child1/grandchild2,https://example.com/child3,https://example.com/child8,https://example.com/child7,https://example.com/child9/grandchild3,https://example.com/child10,https://example.com/child6/grandchild3,https://example.com/child2/grandchild1,https://example.com/child1/grandchild1,https://example.com/child3,https://example.com/child1/grandchild3,https://example.com/child5,https://example.com/child9/grandchild3,https://example.com/child1/grandchild2,https://example.com/child6/grandchild1,https://example.com/child10,https://example.com/child8/grandchild1,https://example.com/child2/grandchild1,https://example.com/child1/grandchild1,https://example.com/child3/grandchild1,https://example.com/child8/grandchild2,https://example.com/child7/grandchild3,https://example.com/child8/grandchild1,https://example.com/child7/grandchild1,https://example.com/child4/grandchild3,https://example.com/child5,https://example.com/child1/grandchild1,scroll,https://example.com,https://example.com/child1/grandchild1,514,160,5,62,up,https://example.com/child1/grandchild1,882,false,23,93.94,307,93,1,82.69,3,3,6,9743,41.53,63,876,1202,634,1354,917,391,1533,1901,550,765,570,68,1649,344,1079,1307,1787,411,1366,760,45,63,295,404,275,402,104,192,454,946,368,1002,443,285,283,955,1031,433,883,10,3,1,10,1,4,0,1,8,2,8,2,5,3,10,6,3,8,6,1,,d6307107-bf3d-4d93-813c-cdd39cbd34e6,iOS,Desktop,https://example.com,1252,784,57,false,2023-11-27T18:04:26.277Z,34,85,0,false,0
6565e04f0e8d3b6d19874861,https://example.com/child5/grandchild2,https://example.com/child1/grandchild3,https://example.com/child7/grandchild3,https://example.com/child10/grandchild2,https://example.com/child1/grandchild2,https://example.com/child1/grandchild2,https://example.com/child6,https://example.com/child4,https://example.com/child6/grandchild2,https://example.com/child6,https://example.com/child4/grandchild3,https://example.com,https://example.com/child6/grandchild1,https://example.com/child5,https://example.com/child4,https://example.com/child1,https://example.com/child4/grandchild1,https://example.com/child8/grandchild1,https://example.com/child10/grandchild1,https://example.com/child4/grandchild1,https://example.com/child6/grandchild1,https://example.com/child1/grandchild3,https://example.com/child6/grandchild3,https://example.com/child7/grandchild2,https://example.com/child1/grandchild1,https://example.com/child4,https://example.com/child7,https://example.com/child10,https://example.com/child9/grandchild1,,,,,,,,,,,,,click,https://example.com,https://example.com/child9/grandchild1,1853,956,1,73,down,https://example.com/child9/grandchild1,9081,false,50,93.78,4509,43,92,66.4,4,2,40,2291,8.65,81,1857,853,1782,1570,1736,588,327,1059,284,151,1392,971,1255,1208,1251,857,1441,915,54,1029,877,828,356,898,603,861,98,905,283,89,501,428,433,149,632,604,1074,24,1021,4,7,5,2,0,1,3,4,10,3,1,4,6,0,0,5,3,1,5,10,https://example.com/child6,14ca7ee8-abad-41cc-b0e6-f82be3ddd5e0,Android,Desktop,https://example.com,1446,1038,62,true,2023-11-27T22:07:41.717Z,21,94,0,false,0
6565e04f0e8d3b6d19874863,https://example.com/child8/grandchild1,https://example.com/child3,https://example.com/child7/grandchild2,https://example.com/child8/grandchild1,https://example.com/child8,https://example.com/child10/grandchild2,https://example.com/child1/grandchild3,https://example.com/child2/grandchild1,https://example.com/child6/grandchild1,https://example.com,https://example.com/child4/grandchild2,https://example.com/child3/grandchild3,https://example.com/child8,https://example.com/child4/grandchild1,https://example.com/child6,https://example.com/child6,https://example.com/child10,,,,,,,,,,,,,,,,,,,,,,,,,scroll,https://example.com,https://example.com/child10,1536,39,5,96,down,https://example.com/child10,2087,true,40,51.33,1253,15,100,11.54,1,3,81,7138,0.55,590,1317,825,421,1122,1053,70,1780,1730,513,741,1920,1694,1865,1535,1181,688,1387,1445,1135,546,927,673,485,514,133,124,493,927,351,1011,368,687,1034,547,706,81,402,594,205,5,2,10,1,5,5,10,7,1,10,9,5,4,4,5,0,10,3,6,1,https://example.com/child1,e2809f26-2e38-49fc-9236-30e51c27fed2,iOS,Desktop,https://example.com,477,541,70,false,2023-11-28T11:48:18.211Z,19,51,0,true,0
6565e04f0e8d3b6d19874865,https://example.com/child4/grandchild3,https://example.com/child1,https://example.com/child8/grandchild2,https://example.com/child9/grandchild1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scroll,https://example.com,https://example.com/child9/grandchild1,722,125,9,18,down,https://example.com/child9/grandchild1,5012,false,2,99.28,3208,30,43,19.65,2,3,58,2604,18.38,607,1669,631,808,276,1891,268,506,517,1741,760,337,486,1347,838,1266,571,1117,1659,1608,453,99,583,35,305,159,908,284,1045,495,866,35,316,675,958,1078,21,378,663,935,2,1,0,1,6,7,5,8,4,6,5,6,9,10,1,10,5,8,6,7,https://example.com/child4/grandchild1,cecbba75-3e5a-4717-ba4a-dc09e65f2e20,iOS,Mobile,https://example.com,621,874,64,false,2023-11-27T15:47:39.817Z,3,35,0,true,0
6565e04f0e8d3b6d19874867,https://example.com/child2/grandchild3,https://example.com/child8/grandchild3,https://example.com/child7/grandchild2,https://example.com,https://example.com/child9,https://example.com/child8/grandchild1,https://example.com/child3,https://example.com/child6/grandchild2,https://example.com/child4,https://example.com/child10,https://example.com/child9,https://example.com/child5/grandchild2,https://example.com/child8/grandchild3,https://example.com/child4/grandchild2,https://example.com/child10/grandchild2,https://example.com/child6,https://example.com/child10/grandchild2,https://example.com/child5/grandchild2,https://example.com/child9,https://example.com/child8,https://example.com/child2/grandchild3,https://example.com/child10/grandchild3,https://example.com/child1/grandchild1,https://example.com/child1,https://example.com/child9/grandchild2,https://example.com/child4/grandchild3,https://example.com/child1/grandchild1,https://example.com/child3/grandchild1,https://example.com/child1/grandchild1,https://example.com/child3,,,,,,,,,,,,click,https://example.com,https://example.com/child3,1067,825,4,61,down,https://example.com/child3,3384,true,23,50.01,1954,4,4,44.32,2,3,53,2825,12.85,1839,694,1563,256,73,1294,294,607,201,30,747,613,572,960,916,1861,1252,1074,1737,273,271,942,927,581,167,617,531,85,915,526,637,88,94,497,986,554,550,294,1040,212,4,10,5,2,0,10,4,6,7,9,8,0,6,7,3,5,1,1,0,3,https://example.com/child10/grandchild3,afb4155d-42f4-4f9b-bef1-412fa4116124,iOS,Desktop,https://example.com,1581,855,1,false,2023-11-28T05:59:52.253Z,60,11,0,false,0
6565e04f0e8d3b6d19874869,https://example.com/child3/grandchild3,https://example.com/child4/grandchild1,https://example.com/child4/grandchild2,https://example.com/child8,https://example.com/child4,https://example.com/child1/grandchild1,https://example.com/child1,https://example.com/child9,https://example.com/child4/grandchild1,https://example.com/child8/grandchild1,https://example.com,https://example.com/child8/grandchild2,https://example.com/child6,https://example.com/child1/grandchild1,https://example.com/child3/grandchild3,https://example.com/child5,https://example.com/child1/grandchild3,https://example.com/child6/grandchild1,https://example.com/child5/grandchild3,https://example.com/child2/grandchild2,https://example.com/child1/grandchild2,https://example.com/child3,https://example.com/child6/grandchild1,https://example.com/child5,https://example.com/child6/grandchild1,,,,,,,,,,,,,,,,,click,https://example.com,https://example.com/child6/grandchild1,515,62,2,9,down,https://example.com/child6/grandchild1,7993,true,15,21.73,2627,90,19,21.72,3,1,23,8567,78.86,1029,894,1788,1143,586,225,826,200,773,1469,313,1488,37,535,1700,1799,601,84,228,981,250,601,272,652,757,696,359,675,231,267,936,388,1022,854,418,137,485,771,826,976,9,7,7,4,7,5,4,2,4,10,7,0,8,8,4,5,1,0,3,4,,fa547ef2-59c8-4287-82aa-db12ada5f0cf,Windows,Desktop,https://example.com,1099,958,57,false,2023-11-27T23:33:13.141Z,58,82,0,true,0
6565e04f0e8d3b6d1987486b,https://example.com/child1/grandchild1,https://example.com/child5/grandchild3,https://example.com,https://example.com/child4/grandchild1,https://example.com/child10/grandchild1,https://example.com/child10/grandchild1,https://example.com/child4/grandchild3,https://example.com/child9/grandchild2,https://example.com/child6,https://example.com/child9,https://example.com/child10/grandchild1,https://example.com/child7/grandchild3,https://example.com/child10/grandchild1,https://example.com/child5/grandchild3,https://example.com/child3/grandchild2,https://example.com/child2/grandchild3,https://example.com/child3/grandchild2,https://example.com/child1,https://example.com/child8/grandchild2,https://example.com/child10,https://example.com/child9/grandchild1,https://example.com/child9/grandchild3,https://example.com/child10/grandchild1,https://example.com/child7,https://example.com/child2/grandchild3,https://example.com/child2/grandchild3,https://example.com/child5/grandchild3,https://example.com/child2/grandchild1,https://example.com/child10,https://example.com/child10/grandchild3,https://example.com,https://example.com/child9/grandchild3,https://example.com/child9/grandchild2,https://example.com/child8,https://example.com/child3/grandchild1,https://example.com/child1/grandchild3,https://example.com/child10/grandchild3,https://example.com/child10/grandchild3,https://example.com/child5/grandchild2,https://example.com/child8,,navigation,https://example.com,https://example.com/child8,1483,493,10,72,down,https://example.com/child8,3127,true,42,36.97,4957,43,1,31.02,1,2,96,447,15.72,1846,1312,864,413,1738,1917,1812,1599,1774,967,660,709,548,219,1413,1140,675,582,231,525,226,578,568,1031,331,414,407,570,322,273,393,1047,92,117,176,262,223,619,665,532,8,4,6,8,7,7,10,8,5,2,5,5,9,10,1,1,5,7,6,9,https://example.com/child1/grandchild1,f9a295f5-adf5-4716-9ab0-dcc223303f97,MacOS,Tab,https://example.com,1071,668,86,false,2023-11-28T09:26:30.423Z,68,70,0,false,0
6565e04f0e8d3b6d1987486d,https://example.com/child8,https://example.com/child5/grandchild2,https://example.com/child6/grandchild3,https://example.com/child9/grandchild3,https://example.com/child1,https://example.com/child1/grandchild2,https://example.com/child1,https://example.com/child5/grandchild3,https://example.com/child5,https://example.com/child8,https://example.com/child4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,navigation,https://example.com,https://example.com/child4,1852,333,7,25,down,https://example.com/child4,7328,true,38,73.93,2705,58,24,97.85,1,5,75,3487,86.57,1842,379,1579,1217,1749,1189,872,1791,145,1417,759,1545,1562,731,476,83,415,931,1164,183,498,14,21,1050,11,868,872,740,184,36,986,396,38,42,591,275,90,79,278,403,2,4,3,3,6,4,4,10,6,10,6,2,2,6,1,2,5,7,10,6,https://example.com/child6/grandchild3,44c8ce74-9b22-4fd3-9a79-85250a8aa726,Windows,Desktop,https://example.com,716,590,66,true,2023-11-28T06:35:12.129Z,69,48,0,true,0
6565e04f0e8d3b6d1987486f,https://example.com/child7/grandchild1,https://example.com/child1/grandchild1,https://example.com/child5,https://example.com/child7/grandchild2,https://example.com/child3/grandchild2,https://example.com/child10/grandchild3,https://example.com/child2/grandchild2,https://example.com/child3,https://example.com/child5/grandchild3,https://example.com/child8,https://example.com/child6/grandchild3,https://example.com/child10,https://example.com/child3,https://example.com/child4/grandchild3,https://example.com/child8,https://example.com/child7/grandchild3,https://example.com/child2/grandchild1,https://example.com/child10/grandchild1,https://example.com/child9/grandchild2,https://example.com/child4,https://example.com/child5/grandchild3,https://example.com/child4/grandchild2,https://example.com/child6/grandchild2,https://example.com/child7/grandchild1,https://example.com/child9/grandchild2,https://example.com/child4/grandchild1,,,,,,,,,,,,,,,,navigation,https://example.com,https://example.com/child4/grandchild1,819,912,9,34,down,https://example.com/child4/grandchild1,9849,false,41,92.24,3782,79,33,75.06,2,3,91,5007,59.29,1458,658,936,885,313,628,1740,1113,738,1882,410,1477,427,249,265,1423,388,908,1173,1743,982,640,633,45,545,446,572,612,363,1043,920,146,470,1057,234,677,890,713,156,694,2,10,8,7,7,7,3,8,10,8,8,6,3,2,6,4,10,2,4,7,,ca03a2be-f07c-4a1e-93ec-77fe3596d9ca,Android,Desktop,https://example.com,1220,888,68,true,2023-11-27T22:26:25.878Z,31,41,0,false,0
6565e04f0e8d3b6d19874871,https://example.com/child6/grandchild1,https://example.com/child4/grandchild2,https://example.com/child1,https://example.com/child3,https://example.com/child6/grandchild1,https://example.com/child2/grandchild2,https://example.com/child10/grandchild1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,navigation,https://example.com,https://example.com/child10/grandchild1,1405,418,1,100,up,https://example.com/child10/grandchild1,1435,true,2,12.26,4294,11,98,77.58,2,1,1,2475,21.59,830,16,432,1463,1570,1035,101,1207,1157,595,1445,158,1904,758,1286,1558,384,802,1860,201,708,9,555,381,598,87,244,951,970,680,99,583,88,140,1073,348,647,308,928,438,0,3,5,9,10,6,10,3,7,8,7,6,8,5,0,1,1,3,2,7,https://example.com/child9/grandchild2,74c4cfcf-4eeb-4e92-865e-4bf325ccba47,MacOS,Tab,https://example.com,322,906,63,false,2023-11-28T03:36:13.230Z,67,61,0,true,0
